Query,Response
What is a MICR code?,"MICR stands for Magnetic Ink Character Recognition. It is a 9-digit code printed on cheques used for processing cheque transactions."
How do I order a cheque book?,"You can request a cheque book through our mobile app, internet banking, or by visiting the nearest branch. It will be delivered to your registered address within 5 to 7 working days."
How do I stop a cheque payment?,"You can issue a stop payment instruction for a cheque through internet banking, mobile app, or by visiting the branch before the cheque is presented for clearing."
What is a demand draft?,"A Demand Draft or DD is a pre-paid payment instrument issued by the bank on behalf of the payer. It is a secure mode of payment that guarantees the amount to the beneficiary."
What is the customer care number?,"You can reach our XYZ Bank customer care team at 1800-XXX-XXXX. Our helpline is available 24 hours a day 7 days a week including holidays."
How do I find the nearest branch or ATM?,"You can find the nearest XYZ Bank branch or ATM using the Branch Locator feature on our mobile app or website. Enter your location or pin code to get directions."
What are your branch working hours?,"XYZ Bank branches are open from 9:30 AM to 4:30 PM on weekdays and 9:30 AM to 1:30 PM on Saturdays. Branches are closed on Sundays and public holidays."
How do I update my mobile number in bank records?,"You can update your registered mobile number by visiting your nearest branch with your identity proof. Some updates can also be done through the mobile app with OTP verification."
How do I update my address in bank records?,"You can update your address by submitting an address change request at the branch along with a new address proof document."
How do I close my bank account?,"To close a bank account visit your nearest branch with your identity proof and submit an account closure form. Ensure that all dues are cleared before closure."
What is an overdraft facility?,"An overdraft facility allows you to withdraw more than the available balance in your account up to a pre-approved limit. Interest is charged only on the amount used."
How do I apply for an overdraft?,"You can apply for an overdraft facility by visiting your nearest branch or through internet banking if you are eligible. It is typically offered against fixed deposits or salary accounts."
What is a locker facility?,"Bank lockers are secure storage facilities offered by the bank to keep your valuables such as jewelry, documents, and important items safe."
How do I rent a bank locker?,"To rent a bank locker visit your nearest XYZ Bank branch. Availability may vary by branch. You will need to sign a locker agreement and pay an annual rental fee."
What should I do if the ATM does not dispense cash but the amount is debited?,"Do not panic. The amount will be automatically refunded within 5 to 7 working days. If not received raise a dispute through our mobile app or customer care helpline."
What is a credit score?,"A credit score is a numerical rating between 300 and 900 that represents your creditworthiness based on your loan repayment history and credit usage. A higher score improves chances of loan approval."
How can I improve my credit score?,"To improve your credit score pay all loan EMIs and credit card bills on time, maintain a low credit utilization ratio, avoid applying for multiple loans at once, and keep old credit accounts active."
What is the minimum credit score required for a loan?,"A minimum credit score of 700 is generally required for personal and home loans at XYZ Bank. A higher score may help you get better interest rates."
Does XYZ Bank offer insurance products?,"Yes XYZ Bank offers life insurance, health insurance, and general insurance products in partnership with leading insurance companies."
Does XYZ Bank offer mutual fund investments?,"Yes you can invest in mutual funds through XYZ Bank. You can start a SIP or make lump sum investments through our mobile app or by visiting the branch."
What is a SIP?,"SIP stands for Systematic Investment Plan. It allows you to invest a fixed amount regularly in mutual funds which helps build wealth over time through the power of compounding."
How do I contact customer support for a complaint?,"You can register a complaint by calling our customer care number, emailing us, using the Raise a Complaint section on our app or website, or by visiting the nearest branch."
How long does it take to resolve a complaint?,"Most complaints are resolved within 7 working days. Complex cases may take up to 30 days. You will receive regular updates on the status of your complaint."
Goodbye,"Thank you for banking with XYZ Bank. Have a great day! Feel free to reach out anytime you need assistance."
Thank you,"You are welcome! It was a pleasure assisting you. Have a wonderful day and happy banking with XYZ Bank!"
